name,chime_event_id,ra_frb,dec_frb,b_err,a_err,theta,tags,frb_survey,DM,include,Localization & PATH note,HG/Science note,DESI quicklook
FRB20231018A,328495927,113.9525084,67.61564891,0.0005555555556,0.007005632321,12.94033471,CHIME-KKO,CHIME/FRB,546.6973267,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=113.952508353952&dec=67.6156489079228&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231201A,341477821,54.58929449,26.81767204,0.0005555555556,0.005631256977,0.5162121942,CHIME-KKO,CHIME/FRB,169.4328156,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=54.5892944872743&dec=26.8176720423103&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231028A,331618070,249.4659895,80.08290425,0.0005555555556,0.04223472351,9.732376673,CHIME-KKO,CHIME/FRB,585.9382935,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=249.465989470138&dec=80.0829042533914&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231225C,347419602,211.7214397,74.44913311,0.0005555555556,0.03050401175,6.572278661,CHIME-KKO,CHIME/FRB,515.5772095,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=211.721439743154&dec=74.4491331124115&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230911A,317888392,49.64796886,2.667129283,0.0005555555556,0.00314629452,6.671559467,CHIME-KKO,CHIME/FRB,351.4012451,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=49.6479688620302&dec=2.66712928306811&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231011A,326456063,18.2411005,41.74909795,0.0005555555556,0.003193388357,13.73469531,CHIME-KKO,CHIME/FRB,186.4165344,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=18.2411005031846&dec=41.7490979473684&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230414B,283032006,11.105806,51.813676,0.000556,0.003642,10.416676,CHIME-KKO,CHIME/FRB,433.8935852,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=11.105806&dec=51.813676&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230311A,275629567,91.109662,55.945953,0.000556,0.004372,9.675111,CHIME-KKO,CHIME/FRB,364.341217,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=91.109662&dec=55.945953&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230913A,318361859,131.903753,87.995112,0.000556,0.003385,-6.166066,CHIME-KKO,CHIME/FRB,251.1164246,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=131.903753&dec=87.995112&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230409A,281936786,148.548623,61.147849,0.000556,0.009167,7.312842,CHIME-KKO,CHIME/FRB,408.822,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=148.548623&dec=61.147849&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
